product_id_1,product_name_1,product_type_1,product_id_2,product_name_2,product_type_2,compatibility_type,compatibility_score,notes
P50003,Kit phát triển,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích một phần,0.78,Cần adapter chuyển đổi
P50003,Kit phát triển,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.59,Cần adapter chuyển đổi
P50003,Kit phát triển,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.57,Cần driver phù hợp
P50004,Máy lập trình,Công cụ phát triển,P50005,Máy lập trình,Công cụ phát triển,Tương thích một phần,0.71,Cần adapter chuyển đổi
P50004,Máy lập trình,Công cụ phát triển,P50006,Công cụ debug,Công cụ phát triển,Tương thích một phần,0.53,Cần thiết bị trung gian
P50004,Máy lập trình,Công cụ phát triển,P50007,Công cụ debug,Công cụ phát triển,Tương thích hoàn toàn,0.89,Cần thiết bị trung gian
P50004,Máy lập trình,Công cụ phát triển,P50008,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.54,Cần firmware tương thích
P50004,Máy lập trình,Công cụ phát triển,P50009,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.67,Cần firmware tương thích
P50004,Máy lập trình,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.74,Cần nguồn điện phù hợp
P50004,Máy lập trình,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.57,Có thể kết nối trực tiếp
P50004,Máy lập trình,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.54,Có thể kết nối trực tiếp
P50004,Máy lập trình,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.59,Cần cài đặt driver
P50004,Máy lập trình,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích hoàn toàn,0.98,Cần firmware tương thích
P50004,Máy lập trình,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Không tương thích,0.26,Cần cấu hình thêm
P50004,Máy lập trình,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích hoàn toàn,1.0,Cần nguồn điện phù hợp
P50004,Máy lập trình,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.55,Cần cài đặt driver
P50005,Máy lập trình,Công cụ phát triển,P50006,Công cụ debug,Công cụ phát triển,Tương thích hoàn toàn,0.95,Cần adapter chuyển đổi
P50005,Máy lập trình,Công cụ phát triển,P50007,Công cụ debug,Công cụ phát triển,Không tương thích,0.16,Cần cập nhật firmware
P50005,Máy lập trình,Công cụ phát triển,P50008,Logic analyzer,Công cụ phát triển,Tương thích hoàn toàn,0.92,Cần cập nhật firmware
P50005,Máy lập trình,Công cụ phát triển,P50009,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.77,Cần firmware tương thích
P50005,Máy lập trình,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.65,Có thể kết nối trực tiếp
P50005,Máy lập trình,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.72,Cần cập nhật firmware
P50005,Máy lập trình,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.99,Cần cài đặt driver
P50005,Máy lập trình,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.96,Cần cấu hình thêm
P50005,Máy lập trình,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích hoàn toàn,0.92,Cần thiết bị trung gian
P50005,Máy lập trình,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích một phần,0.75,Cần phần mềm hỗ trợ
P50005,Máy lập trình,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.52,Cần driver phù hợp
P50005,Máy lập trình,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.57,Cần nguồn điện phù hợp
P50006,Công cụ debug,Công cụ phát triển,P50007,Công cụ debug,Công cụ phát triển,Tương thích một phần,0.67,Cần driver phù hợp
P50006,Công cụ debug,Công cụ phát triển,P50008,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.52,Cần cấu hình thêm
P50006,Công cụ debug,Công cụ phát triển,P50009,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.68,Cần phần mềm hỗ trợ
P50006,Công cụ debug,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Tương thích hoàn toàn,0.81,Cần cấu hình thêm
P50006,Công cụ debug,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.62,Cần cài đặt driver
P50006,Công cụ debug,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.94,Cần adapter chuyển đổi
P50006,Công cụ debug,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Không tương thích,0.06,Cần firmware tương thích
P50006,Công cụ debug,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích hoàn toàn,0.9,Cần cập nhật firmware
P50006,Công cụ debug,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.88,Có thể kết nối trực tiếp
P50006,Công cụ debug,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Không tương thích,0.1,Cần adapter chuyển đổi
P50006,Công cụ debug,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Không tương thích,0.2,Cần cập nhật firmware
P50007,Công cụ debug,Công cụ phát triển,P50008,Logic analyzer,Công cụ phát triển,Tương thích hoàn toàn,0.99,Có thể kết nối trực tiếp
P50007,Công cụ debug,Công cụ phát triển,P50009,Logic analyzer,Công cụ phát triển,Tương thích một phần,0.74,Cần thiết bị trung gian
P50007,Công cụ debug,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.62,Cần driver phù hợp
P50007,Công cụ debug,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.74,Cần nguồn điện phù hợp
P50007,Công cụ debug,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.75,Cần thiết bị trung gian
P50007,Công cụ debug,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.84,Có thể kết nối trực tiếp
P50007,Công cụ debug,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.73,Cần driver phù hợp
P50007,Công cụ debug,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.84,Cần driver phù hợp
P50007,Công cụ debug,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.76,Cần cấu hình thêm
P50007,Công cụ debug,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.53,Có thể kết nối trực tiếp
P50008,Logic analyzer,Công cụ phát triển,P50009,Logic analyzer,Công cụ phát triển,Tương thích hoàn toàn,0.81,Cần driver phù hợp
P50008,Logic analyzer,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Không tương thích,0.14,Cần cấu hình thêm
P50008,Logic analyzer,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích hoàn toàn,0.82,Cần adapter chuyển đổi
P50008,Logic analyzer,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.89,Cần cập nhật firmware
P50008,Logic analyzer,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Không tương thích,0.13,Cần cấu hình thêm
P50008,Logic analyzer,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.58,Cần thiết bị trung gian
P50008,Logic analyzer,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.89,Cần cập nhật firmware
P50008,Logic analyzer,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Không tương thích,0.16,Cần thiết bị trung gian
P50008,Logic analyzer,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.88,Cần thiết bị trung gian
P50009,Logic analyzer,Công cụ phát triển,P50010,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.52,Cần phần mềm hỗ trợ
P50009,Logic analyzer,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích một phần,0.53,Có thể kết nối trực tiếp
P50009,Logic analyzer,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Không tương thích,0.25,Cần nguồn điện phù hợp
P50009,Logic analyzer,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.77,Cần nguồn điện phù hợp
P50009,Logic analyzer,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.59,Cần firmware tương thích
P50009,Logic analyzer,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.85,Cần cài đặt driver
P50009,Logic analyzer,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.76,Cần cấu hình thêm
P50009,Logic analyzer,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.9,Cần cấu hình thêm
P50010,Máy đo đa năng,Công cụ phát triển,P50011,Máy đo đa năng,Công cụ phát triển,Tương thích hoàn toàn,0.96,Cần cập nhật firmware
P50010,Máy đo đa năng,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Không tương thích,0.34,Cần cài đặt driver
P50010,Máy đo đa năng,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.61,Cần phần mềm hỗ trợ
P50010,Máy đo đa năng,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.62,Cần cập nhật firmware
P50010,Máy đo đa năng,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Không tương thích,0.33,Cần phần mềm hỗ trợ
P50010,Máy đo đa năng,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.61,Cần driver phù hợp
P50010,Máy đo đa năng,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.51,Cần phần mềm hỗ trợ
P50011,Máy đo đa năng,Công cụ phát triển,P50012,Máy hiện sóng,Công cụ phát triển,Không tương thích,0.08,Cần adapter chuyển đổi
P50011,Máy đo đa năng,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích hoàn toàn,0.98,Cần thiết bị trung gian
P50011,Máy đo đa năng,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.78,Cần cài đặt driver
P50011,Máy đo đa năng,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Không tương thích,0.08,Cần cập nhật firmware
P50011,Máy đo đa năng,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.77,Cần cài đặt driver
P50011,Máy đo đa năng,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Không tương thích,0.35,Cần cấu hình thêm
P50012,Máy hiện sóng,Công cụ phát triển,P50013,Máy hiện sóng,Công cụ phát triển,Tương thích một phần,0.62,Cần thiết bị trung gian
P50012,Máy hiện sóng,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích một phần,0.53,Cần nguồn điện phù hợp
P50012,Máy hiện sóng,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích một phần,0.59,Cần driver phù hợp
P50012,Máy hiện sóng,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích hoàn toàn,0.82,Có thể kết nối trực tiếp
P50012,Máy hiện sóng,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.82,Có thể kết nối trực tiếp
P50013,Máy hiện sóng,Công cụ phát triển,P50014,Bộ tạo xung,Công cụ phát triển,Tương thích hoàn toàn,0.81,Cần nguồn điện phù hợp
P50013,Máy hiện sóng,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.92,Cần cài đặt driver
P50013,Máy hiện sóng,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích hoàn toàn,0.94,Có thể kết nối trực tiếp
P50013,Máy hiện sóng,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.81,Cần driver phù hợp
P50014,Bộ tạo xung,Công cụ phát triển,P50015,Môi trường mô phỏng,Công cụ phát triển,Tương thích hoàn toàn,0.86,Cần firmware tương thích
P50014,Bộ tạo xung,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Tương thích một phần,0.56,Cần nguồn điện phù hợp
P50014,Bộ tạo xung,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.95,Cần thiết bị trung gian
P50015,Môi trường mô phỏng,Công cụ phát triển,P50016,Công cụ thiết kế PCB,Công cụ phát triển,Không tương thích,0.21,Có thể kết nối trực tiếp
P50015,Môi trường mô phỏng,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích một phần,0.72,Cần adapter chuyển đổi
P50016,Công cụ thiết kế PCB,Công cụ phát triển,P50017,Board thí nghiệm,Công cụ phát triển,Tương thích hoàn toàn,0.99,Cần firmware tương thích
P60001,Module WiFi,Thiết bị truyền thông,P60002,Module WiFi,Thiết bị truyền thông,Không tương thích,0.16,Có thể kết nối trực tiếp
P60001,Module WiFi,Thiết bị truyền thông,P60003,Module WiFi,Thiết bị truyền thông,Không tương thích,0.13,Cần cài đặt driver
P60001,Module WiFi,Thiết bị truyền thông,P60004,Module Bluetooth,Thiết bị truyền thông,Tương thích hoàn toàn,0.93,Cần phần mềm hỗ trợ
P60001,Module WiFi,Thiết bị truyền thông,P60005,Module Bluetooth,Thiết bị truyền thông,Tương thích một phần,0.61,Cần firmware tương thích
P60001,Module WiFi,Thiết bị truyền thông,P60006,Module Zigbee,Thiết bị truyền thông,Tương thích một phần,0.7,Có thể kết nối trực tiếp
P60001,Module WiFi,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích một phần,0.62,Cần thiết bị trung gian
P60001,Module WiFi,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Tương thích hoàn toàn,0.94,Cần cập nhật firmware
P60001,Module WiFi,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Không tương thích,0.01,Cần cấu hình thêm
P60001,Module WiFi,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Tương thích một phần,0.79,Cần phần mềm hỗ trợ
P60001,Module WiFi,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích một phần,0.56,Cần phần mềm hỗ trợ
P60001,Module WiFi,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.75,Cần thiết bị trung gian
P60001,Module WiFi,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích hoàn toàn,0.82,Cần cấu hình thêm
P60001,Module WiFi,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Không tương thích,0.25,Cần firmware tương thích
P60001,Module WiFi,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích hoàn toàn,0.99,Cần cấu hình thêm
P60001,Module WiFi,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Tương thích một phần,0.77,Cần thiết bị trung gian
P60001,Module WiFi,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích hoàn toàn,0.85,Cần firmware tương thích
P60002,Module WiFi,Thiết bị truyền thông,P60003,Module WiFi,Thiết bị truyền thông,Không tương thích,0.04,Cần cập nhật firmware
P60002,Module WiFi,Thiết bị truyền thông,P60004,Module Bluetooth,Thiết bị truyền thông,Tương thích một phần,0.74,Cần cập nhật firmware
P60002,Module WiFi,Thiết bị truyền thông,P60005,Module Bluetooth,Thiết bị truyền thông,Tương thích hoàn toàn,0.95,Cần thiết bị trung gian
P60002,Module WiFi,Thiết bị truyền thông,P60006,Module Zigbee,Thiết bị truyền thông,Không tương thích,0.23,Có thể kết nối trực tiếp
P60002,Module WiFi,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích hoàn toàn,0.87,Cần cấu hình thêm
P60002,Module WiFi,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Không tương thích,0.03,Cần firmware tương thích
P60002,Module WiFi,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Không tương thích,0.15,Có thể kết nối trực tiếp
P60002,Module WiFi,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.98,Cần adapter chuyển đổi
P60002,Module WiFi,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.88,Cần cài đặt driver
P60002,Module WiFi,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.57,Cần nguồn điện phù hợp
P60002,Module WiFi,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.71,Cần phần mềm hỗ trợ
P60002,Module WiFi,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích một phần,0.57,Cần thiết bị trung gian
P60002,Module WiFi,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích một phần,0.6,Cần phần mềm hỗ trợ
P60002,Module WiFi,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Tương thích một phần,0.62,Cần phần mềm hỗ trợ
P60002,Module WiFi,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích hoàn toàn,0.88,Cần cài đặt driver
P60003,Module WiFi,Thiết bị truyền thông,P60004,Module Bluetooth,Thiết bị truyền thông,Tương thích một phần,0.56,Cần driver phù hợp
P60003,Module WiFi,Thiết bị truyền thông,P60005,Module Bluetooth,Thiết bị truyền thông,Tương thích một phần,0.65,Cần thiết bị trung gian
P60003,Module WiFi,Thiết bị truyền thông,P60006,Module Zigbee,Thiết bị truyền thông,Không tương thích,0.1,Cần thiết bị trung gian
P60003,Module WiFi,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích một phần,0.61,Có thể kết nối trực tiếp
P60003,Module WiFi,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Tương thích một phần,0.69,Cần cài đặt driver
P60003,Module WiFi,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Tương thích một phần,0.74,Cần cài đặt driver
P60003,Module WiFi,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Không tương thích,0.05,Cần phần mềm hỗ trợ
P60003,Module WiFi,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.9,Có thể kết nối trực tiếp
P60003,Module WiFi,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.67,Cần driver phù hợp
P60003,Module WiFi,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích hoàn toàn,0.87,Có thể kết nối trực tiếp
P60003,Module WiFi,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích một phần,0.51,Có thể kết nối trực tiếp
P60003,Module WiFi,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích một phần,0.77,Cần cài đặt driver
P60003,Module WiFi,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Không tương thích,0.28,Cần adapter chuyển đổi
P60003,Module WiFi,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích hoàn toàn,0.92,Cần phần mềm hỗ trợ
P60004,Module Bluetooth,Thiết bị truyền thông,P60005,Module Bluetooth,Thiết bị truyền thông,Tương thích một phần,0.56,Cần cấu hình thêm
P60004,Module Bluetooth,Thiết bị truyền thông,P60006,Module Zigbee,Thiết bị truyền thông,Tương thích hoàn toàn,0.8,Cần cấu hình thêm
P60004,Module Bluetooth,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích hoàn toàn,0.96,Có thể kết nối trực tiếp
P60004,Module Bluetooth,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Tương thích một phần,0.77,Cần cập nhật firmware
P60004,Module Bluetooth,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Không tương thích,0.3,Cần thiết bị trung gian
P60004,Module Bluetooth,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.87,Cần adapter chuyển đổi
P60004,Module Bluetooth,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.97,Cần nguồn điện phù hợp
P60004,Module Bluetooth,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.76,Cần adapter chuyển đổi
P60004,Module Bluetooth,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Không tương thích,0.05,Cần cài đặt driver
P60004,Module Bluetooth,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích hoàn toàn,0.87,Cần cấu hình thêm
P60004,Module Bluetooth,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích một phần,0.79,Có thể kết nối trực tiếp
P60004,Module Bluetooth,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Tương thích hoàn toàn,0.99,Cần phần mềm hỗ trợ
P60004,Module Bluetooth,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích một phần,0.68,Cần cấu hình thêm
P60005,Module Bluetooth,Thiết bị truyền thông,P60006,Module Zigbee,Thiết bị truyền thông,Không tương thích,0.04,Cần nguồn điện phù hợp
P60005,Module Bluetooth,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích hoàn toàn,0.91,Cần thiết bị trung gian
P60005,Module Bluetooth,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Không tương thích,0.01,Cần phần mềm hỗ trợ
P60005,Module Bluetooth,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Tương thích một phần,0.59,Cần thiết bị trung gian
P60005,Module Bluetooth,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.92,Cần cài đặt driver
P60005,Module Bluetooth,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích một phần,0.52,Có thể kết nối trực tiếp
P60005,Module Bluetooth,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.54,Cần driver phù hợp
P60005,Module Bluetooth,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích hoàn toàn,0.81,Cần driver phù hợp
P60005,Module Bluetooth,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích hoàn toàn,0.88,Cần cài đặt driver
P60005,Module Bluetooth,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích một phần,0.78,Cần firmware tương thích
P60005,Module Bluetooth,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Tương thích hoàn toàn,0.81,Cần driver phù hợp
P60005,Module Bluetooth,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích một phần,0.53,Cần firmware tương thích
P60006,Module Zigbee,Thiết bị truyền thông,P60007,Module Zigbee,Thiết bị truyền thông,Tương thích một phần,0.66,Cần thiết bị trung gian
P60006,Module Zigbee,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Không tương thích,0.28,Cần nguồn điện phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Tương thích một phần,0.56,Cần driver phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.96,Cần nguồn điện phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Tương thích hoàn toàn,0.92,Cần nguồn điện phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.52,Có thể kết nối trực tiếp
P60006,Module Zigbee,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích hoàn toàn,0.96,Cần cài đặt driver
P60006,Module Zigbee,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích một phần,0.63,Cần cấu hình thêm
P60006,Module Zigbee,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích một phần,0.64,Cần nguồn điện phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Không tương thích,0.38,Cần nguồn điện phù hợp
P60006,Module Zigbee,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích một phần,0.64,Cần driver phù hợp
P60007,Module Zigbee,Thiết bị truyền thông,P60008,Module RF,Thiết bị truyền thông,Tương thích hoàn toàn,1.0,Cần adapter chuyển đổi
P60007,Module Zigbee,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Không tương thích,0.09,Cần adapter chuyển đổi
P60007,Module Zigbee,Thiết bị truyền thông,P60010,Module GSM/GPRS,Thiết bị truyền thông,Không tương thích,0.18,Cần cấu hình thêm
P60007,Module Zigbee,Thiết bị truyền thông,P60011,Module GSM/GPRS,Thiết bị truyền thông,Không tương thích,0.03,Cần phần mềm hỗ trợ
P60007,Module Zigbee,Thiết bị truyền thông,P60012,Module NFC/RFID,Thiết bị truyền thông,Tương thích một phần,0.75,Cần driver phù hợp
P60007,Module Zigbee,Thiết bị truyền thông,P60013,Module NFC/RFID,Thiết bị truyền thông,Tương thích hoàn toàn,0.97,Cần nguồn điện phù hợp
P60007,Module Zigbee,Thiết bị truyền thông,P60014,Module LoRa,Thiết bị truyền thông,Tương thích một phần,0.51,Cần cấu hình thêm
P60007,Module Zigbee,Thiết bị truyền thông,P60015,Module Ethernet,Thiết bị truyền thông,Tương thích hoàn toàn,0.93,Cần thiết bị trung gian
P60007,Module Zigbee,Thiết bị truyền thông,P60016,Module CAN Bus,Thiết bị truyền thông,Tương thích một phần,0.72,Cần driver phù hợp
P60007,Module Zigbee,Thiết bị truyền thông,P60017,Module Z-Wave,Thiết bị truyền thông,Tương thích một phần,0.56,Cần driver phù hợp
P60008,Module RF,Thiết bị truyền thông,P60009,Module RF,Thiết bị truyền thông,Tương thích một phần,0.56,Cần nguồn điện phù hợp
